,title,price,Desc
242,Suzuki Alto 2016,"Rs 4,175,000","Colombo, "
243,Suzuki Alto 2012,"Rs 2,800,000","Puttalam, "
244,Suzuki Alto 2015,"Rs 2,750,000","Colombo, "
245,Suzuki Alto 2004,"Rs 2,325,000","Ratnapura, "
246,Suzuki Alto 2015,"Rs 2,650,000","Colombo, "
247,Suzuki Alto 800 2015,"Rs 2,690,000","Kandy, "
248,Suzuki Alto Japan 2016,"Rs 4,000,000","Galle, "
249,Suzuki Alto 2016,"Rs 4,050,000","Gampaha, "
250,Suzuki Alto Japan 2004,"Rs 3,125,000","Colombo, "
251,Suzuki Alto 2015,"Rs 2,850,000","Kurunegala, "
252,Suzuki Alto 2015,"Rs 2,800,000","Colombo, "
253,Suzuki Alto LXI 2008,"Rs 2,400,000","Gampaha, "
254,Suzuki Alto Works 2016,"Rs 5,500,000","Colombo, "
255,Suzuki Alto LXi 2015,"Rs 2,425,000","Kandy, "
256,Suzuki Alto LXI 2013,"Rs 2,690,000","Gampaha, "
257,Suzuki Alto 800 2015,"Rs 2,750,000","Colombo, "
258,Suzuki Alto 2004,"Rs 2,585,000","Matara, "
259,Suzuki Alto 800 LXI 2015,"Rs 2,800,000","Colombo, "
260,Suzuki Alto Japan 2007,"Rs 2,825,000","Kurunegala, "
261,Suzuki Alto Sport 2008,"Rs 2,200,000","Colombo, "
262,Maruti Suzuki Alto VXI 800cc 2019,"Rs 3,850,000","Colombo, "
263,Suzuki Alto 800 2015,"Rs 2,850,000","Anuradhapura, "
264,Suzuki Alto 2015,"Rs 2,985,000","Colombo, "
265,Suzuki Alto Sports (chilli Pack) 2017,"Rs 3,395,000","Colombo, "
266,Maruti Suzuki Alto 2005,"Rs 1,800,000","Gampaha, "
267,Suzuki Alto LXI 2010,"Rs 2,350,000","Kegalle, "
268,Suzuki Alto 2015,"Rs 2,595,000","Kurunegala, "
269,Suzuki Alto 2007,"Rs 2,085,000","Matara, "
270,Suzuki Alto 2003,"Rs 3,000,000","Colombo, "
271,Suzuki Alto 2014,"Rs 2,600,000","Kalutara, "
272,Suzuki Alto 2015,"Rs 2,690,000","Colombo, "
273,Suzuki Alto LXI 2016,"Rs 2,850,000","Kandy, "
274,Suzuki Alto Japan 650 2002,"Rs 1,950,000","Kurunegala, "
275,Suzuki Alto LXI 2015,"Rs 2,743,500","Colombo, "
276,Suzuki Alto K10 2012,"Rs 2,575,000","Colombo, "
277,Suzuki Alto 2015,"Rs 2,850,000","Kurunegala, "
278,Maruti Suzuki Alto LXI 2005,"Rs 1,975,000","Badulla, "
279,Suzuki Alto 2015,"Rs 2,830,000","Gampaha, "
280,Suzuki Alto LXI 2005,"Rs 2,125,000","Gampaha, "
281,Suzuki Alto Japan UN/RE 2017,"Rs 6,500,000","Colombo, "
282,Suzuki Alto Japan 2003,"Rs 2,850,000","Gampaha, "
283,Suzuki Alto 2007,"Rs 2,150,000","Badulla, "
284,Suzuki Alto 2016,"Rs 4,000,000","Gampaha, "
285,Suzuki Alto 2015,"Rs 2,800,000","Colombo, "
286,Suzuki Alto 2015,"Rs 2,895,000","Colombo, "
287,Maruti Suzuki Alto 2011,"Rs 2,250,000","Galle, "
288,Suzuki Alto Maruti 2015,"Rs 2,850,000","Gampaha, "
289,Suzuki Alto 2011,"Rs 2,100,000","Matara, "
290,Suzuki Alto 2003,"Rs 3,175,000","Kegalle, "
291,Suzuki Alto Lxi 2013,"Rs 2,350,000","Colombo, "
292,Suzuki Alto 2015,"Rs 2,600,000","Anuradhapura, "
293,Suzuki Alto Maruti 2012,"Rs 2,400,000","Kurunegala, "
294,Suzuki Alto K10 2011,"Rs 2,500,000","Galle, "
295,Suzuki Alto 2015,"Rs 3,250,000","Badulla, "
296,Suzuki Alto 2015,"Rs 2,850,000","Anuradhapura, "
297,Maruti Suzuki Alto 2005,"Rs 2,125,000","Colombo, "
298,Maruti Suzuki Alto 2012,"Rs 2,400,000","Galle, "
299,Maruti Suzuki Alto Ex 2015,"Rs 3,000,000","Colombo, "
300,Suzuki Alto 2015,"Rs 2,400,000","Colombo, "
301,Suzuki Alto Japan 2003,"Rs 2,990,000","Gampaha, "
302,Suzuki Alto Lxi 2015,"Rs 2,750,000","Colombo, "
303,Suzuki Alto LXI 2005,"Rs 2,070,000","Trincomalee, "
304,Suzuki Alto 2015,"Rs 2,990,000","Kalutara, "
305,Suzuki Alto 2012,"Rs 2,225,000","Matara, "
306,Maruti Suzuki Alto 2015,"Rs 2,525,000","Gampaha, "
307,Suzuki Alto LXI 2005,"Rs 2,135,000","Colombo, "
308,Maruti Suzuki Alto 2011,"Rs 2,650,000","Colombo, "
309,Suzuki Alto LXi 2015,"Rs 2,990,000","Ampara, "
310,Suzuki Alto japan 2017,"Rs 4,350,000","Gampaha, "
311,Maruti Suzuki Alto 800 2015,"Rs 3,050,000","Puttalam, "
312,Suzuki Alto Lxi 2015,"Rs 2,800,000","Kalutara, "
313,Suzuki Alto Car 2014,"Rs 2,400,000","Gampaha, "
314,Suzuki Alto Car 2005,"Rs 2,275,000","Batticaloa, "
315,Suzuki Alto 800 LXI 2015,"Rs 2,615,000","Gampaha, "
316,Suzuki Alto 2015,"Rs 2,525,000","Colombo, "
317,Suzuki Alto LXI 800 2015,"Rs 2,880,000","Gampaha, "
318,Suzuki Alto k10 2012,"Rs 2,590,000","Ratnapura, "
319,Suzuki Alto 2015,"Rs 2,660,000","Colombo, "
320,Suzuki Alto 3 2015,"Rs 2,875,000","Colombo, "
321,Suzuki Alto 2015,"Rs 2,610,000","Colombo, "
322,Suzuki Alto 2016,"Rs 2,900,000","Gampaha, "
323,Suzuki Alto LXI 2010,"Rs 2,375,000","Colombo, "
324,Suzuki Alto K10 2011,"Rs 2,600,000","Kalutara, "
325,Suzuki Alto 2010,"Rs 2,390,000","Gampaha, "
326,Maruti Suzuki Alto 2010,"Rs 2,375,000","Galle, "
327,Suzuki Alto K10 2015,"Rs 3,895,000","Colombo, "
328,Suzuki Alto K10 2015,"Rs 3,240,000","Colombo, "
329,Suzuki Alto Car 2015,"Rs 2,975,000","Kalutara, "
330,Suzuki Alto Indian 2008,"Rs 2,000,000","Kandy, "
331,Suzuki Alto 2007,"Rs 3,995,000","Colombo, "
332,Suzuki Alto 2015,"Rs 2,800,000","Gampaha, "
333,Suzuki Alto 2015,"Rs 2,700,000","Colombo, "
334,Suzuki Alto 2015,"Rs 2,580,000","Colombo, "
335,Suzuki Alto Turbo RS 2016,"Rs 4,700,000","Badulla, "
336,Maruti Suzuki Alto K10 2011,"Rs 2,600,000","Puttalam, "
337,Suzuki Alto 800 Lxi 2015,"Rs 1,290,000","Gampaha, "
338,Suzuki Alto Japan 2003,"Rs 2,890,000","Colombo, "
339,Suzuki Alto Japan 2004,"Rs 2,800,000","Colombo, "
340,Suzuki Alto 2002,"Rs 2,850,000","Kandy, "
341,Suzuki Alto 2014,"Rs 2,550,000","Colombo, "
342,Suzuki Alto 2015,"Rs 2,800,000","Colombo, "
343,Suzuki Alto Lxi 2015,"Rs 2,850,000","Kandy, "
344,Suzuki Alto 2015,"Rs 2,875,000","Nuwara Eliya, "
345,Maruti Suzuki Alto LXI 2014,"Rs 3,000,000","Kalutara, "
346,Suzuki Alto LXI 2015,"Rs 2,750,000","Colombo, "
347,Suzuki Alto 2015,"Rs 2,840,000","Badulla, "
348,Suzuki Alto Japan 2011,"Rs 3,850,000","Gampaha, "
349,Suzuki Alto 2015,"Rs 2,790,000","Kandy, "
350,Suzuki Alto 2014,"Rs 2,600,000","Kalutara, "
351,Suzuki Alto 2015,"Rs 1,700,000","Gampaha, "
352,Suzuki Alto 2018,"Rs 4,650,000","Colombo, "
353,Suzuki Alto LXI 2015,"Rs 2,690,000","Colombo, "
354,Maruti Suzuki Alto LXI 800 2015,"Rs 3,000,000","Colombo, "
355,Suzuki Alto 2015,"Rs 2,750,000","Kalutara, "
356,Suzuki Alto 2006,"Rs 1,975,000","Kalutara, "
357,Suzuki Alto 2015,"Rs 3,050,000","Polonnaruwa, "
358,Maruti Suzuki Alto 2015,"Rs 2,750,000","Gampaha, "
359,Suzuki Alto k10 2011,"Rs 2,300,000","Gampaha, "
360,Suzuki Alto Japan 2001,"Rs 2,000,000","Matara, "
361,Suzuki Alto 2016,"Rs 2,600,000","Gampaha, "
362,Suzuki Alto 2015,"Rs 2,950,000","Anuradhapura, "
363,Suzuki Alto 2013,"Rs 2,550,000","Colombo, "
364,Suzuki Alto Japan 2017,"Rs 4,750,000","Gampaha, "
365,Suzuki Alto 2004,"Rs 1,380,000","Anuradhapura, "
366,Suzuki Alto 2015,"Rs 2,690,000","Colombo, "
367,Suzuki Alto 2015,"Rs 2,650,000","Anuradhapura, "
368,Suzuki Alto LHi 2010,"Rs 2,100,000","Anuradhapura, "
369,Suzuki Alto 2015,"Rs 2,675,000","Gampaha, "
370,Suzuki Alto 2010,"Rs 2,300,000","Ratnapura, "
371,Suzuki Alto Japan ANDROID HYBD 2017,"Rs 4,490,000","Colombo, "
372,Suzuki Alto 2015,"Rs 3,025,000","Batticaloa, "
373,Suzuki Alto Japan HYBD S 2017,"Rs 4,490,000","Colombo, "
374,Suzuki Alto 2015,"Rs 1,350,000","Ratnapura, "
375,Suzuki Alto 2015,"Rs 2,720,000","Gampaha, "
376,Suzuki Alto 2005,"Rs 1,000,000","Kandy, "
377,Suzuki Alto 2015,"Rs 2,774,190","Colombo, "
378,Suzuki Alto 2015 Maruti 800,"Rs 3,800,000","Trincomalee, "
379,Suzuki Alto K10 2011,"Rs 2,275,000","Kurunegala, "
380,Suzuki Alto LXI 2010,"Rs 2,500,000","Ratnapura, "
